"initials","group","text","timestamp","extracted_locations","extracted_species","extracted_gear","extracted_activity","extracted_time","extracted_mention","reviewer"
"A",88," I hope that honestly, that little kids know what it's like to be part of the fishing community, because I go into like Pemetic, I go into some of these elementary schools, and Eden just graduated from Pemetic as an eighth grader last year, and there are very few fishing families still part of that community. And it's sad. So my hope is that we maintain a connection, and that the people moving here too that are not from here that don't have immediate connections to the fisheries and to the different – you know, just the ocean in general, that they learn about it. And I have people that, you know, come up to me and ask me like oh, will you take my son out we don't ever anyone in the fish – we don't anyone in the family that fishes, could you take him out? And we've done that a couple times. But it would be really great to have more of a youth program for folks. I mean, even here at the COA, I mean, talks. All that. Getting just the community connection and just making sure that it's really the youth that are learning about what the fisheries are all about.","[1:18:32]","","","","fishing, fish","","",""
"Q",89," Great. Thank you. And is there anything else you wanted to share with us before we end the interview?","[1:19:38]","","","","","","",""
"A",90," I don't know that it was a lot. (laughter). I don't know. Yeah, I don't think I do. I mean, I'm not trying to like totally plug my business, but it really is, , like, that was the whole vision for the Golf of Maine was to create a place that people could come and learn about it. And when we've really started talking about that new business was when we were in jeopardy of, oh, my gosh, are we actually not fishing? Is that what's happening right now? I mean, we have the commissioner telling us not to go, like what's happening? Like that – this is all new. This is a new, like what's going on. So we really did want to create a place where we could talk about these things, and showcase them, and have things on display that were not totally manufactured in a theme park thing, that there was real, like – this is like – I caught that. Like that's scallop shells, and those are different things that we – bottles. Like different things we actually found fishing, and then talk to that about people. And so last year, our first year, being open, I can't even tell you how gratifying it was to have the people that showed up to play golf, that didn't know we were there first off, and then they're like, oh. we didn't know we were here. This wasn't here last year. And then to start the conversation about fishing is what it's all about. I mean, for me that's really going forward, is just giving back something that I know a little bit about that I think is really fascinating. Yeah.","[1:19:44]","","scallop","","fishing","","",""
"Q",91," Great. Thank you so much. Do you have any other questions?","[1:21:18]","","","","","","",""
"F",92," I mean, there's just one clarifying question about you're saying like this morning you're delivering scallops, but so I wasn't sure if that's your –","[1:21:20]","","scallop","","","","one",""
"Q",93," So it's my step-dad.","[1:21:28]","","","","","","",""
"F",94," Your step-dad. It could be his scallops right now.","[1:21:29]","","scallop","","","","",""
"Q",95," Yeah, so he's scalloping right now with his son, Luke. So they go out. They can catch 15 gallons a day. So he'll –","[1:21:31]","","scallop","","","15","15",""
"F",96," And then he'll sell –","[1:21:37]","","","","","","",""
"Q",97," And then I sell them. Yeah.","[1:21:38]","","","","","","",""
"F",98," And you're going to both like direct to consumers and to restaurants?","[1:21:39]","","","","","","",""
"A",99," Totally. Yeah. Yeah. And myself. (laughter)","[1:21:42]","","","","","","",""
"F",100," Do you (inaudible)?","[1:21:44]","","","","","","",""
"A",101,",  I'm filling my own freezer, which is nice. (laughter) I've never – I actually – we always eat scallops when we're out fishing, because I always – like I have a fry pan and stuff on the boat, so we're always cooking them. But it's been really weird for me to like get home now and cook them, because I never did that. I just ate them on the boat. Like I'd, you know, I'd bring food and you have a grill on the boat. I mean, we ate – well, like – scalloping – when you're – dragging is much different than lobstering. There's a lot more time like steaming-wise to like make food. But yeah, this is the first year that I've been like making scallops at home now. It's great. I love it.","[1:21:45]","home","scallop, lobster","","fishing, weir, dragging, lobster","","",""
"Q",102," I understand. An animal product (inaudible: overlapping dialogue).","[1:22:20]","","","","","","",""
"A",103," Yeah.","[1:22:22]","","","","","","",""
"Q",104," You knew so well, you're like free baking up a relationship and then you eat it.","[1:22:23]","","","","","","",""
"F",105," Yeah. Yeah. And when I'm cooking them and they're still moving it's like, that's amazing. Yeah.","[1:22:25]","","","","","","",""
"Q",106," Great. Well, thank you. I'm going to go and turn this off.","[1:22:31]","","","","","","",""
"A",107," Sure. END OF FILE","[1:22:33]","","","","","","",""
